Date,AGG,EMB,HYG,IAU,IEFA,IEMG,MBB,QQQ,SDY,SPY,TIP,VTV,VUG,XLC,XLE,XLF,XLI,XLK,XLV,XLY
2016-01-05,100.0463192122112,100.26494662921375,100.1872586830417,100.19267344767688,99.83203387389368,100.2344421779116,100.07426923772192,99.82647351752227,100.41341625556792,100.1691387428374,99.93646061094478,100.32289706564868,100.01910766211832,,100.38144652249404,100.3851049345995,100.26769063974632,99.739766989539,100.4806762800349,99.8698012681714
2016-01-06,100.42603212162918,100.25551851448336,100.1872586830417,101.830439097192,98.07763437515771,98.43710107877052,100.39920519055164,98.86757956833397,99.25588721640288,98.90559306971512,100.2542945601743,98.89481823461747,98.9193761909398,,96.51744949424337,98.84466289519474,98.71892757995391,98.50958342568616,99.66066785250165,98.8935023107721
2016-01-07,100.41678437621984,99.78230464637237,99.53803824623168,103.27553129903028,96.21127113681808,95.46757167384736,100.52912812978728,95.77168951832353,97.25782185052326,96.53271029213236,100.17255647930894,96.58512352940664,96.37562707415644,,94.16253199905432,96.06327018617438,96.04209402127896,95.59971229719244,97.63889790527406,96.86277025999632
2016-01-08,100.63902001263617,99.69716563380226,99.2758985580195,102.69749258077222,94.9794812475303,94.55587593151016,100.64056413755532,94.98630749402211,96.32080537934192,95.47309570031952,100.2542945601743,95.44271706354148,95.47669244433976,,92.9519381830384,94.5656906816916,95.06695260477171,94.84269647499816,96.16853532068887,95.82137193668272
2016-01-11,100.35195357615709,99.5267953570502,99.12612406543067,101.830439097192,95.31541349974292,94.45169132720898,100.54774366599548,95.27854385077538,96.29324052221412,95.56762551097052,99.72754480466928,95.38062147399364,95.57233136230587,,90.96187187159197,94.69403297538358,95.1242848242651,95.45777852276542,95.02333506054488,96.57640966249949
2016-01-12,100.57422140663924,99.06312953076495,99.22595708415936,101.34875088419298,95.7633505249608,94.52984812975282,100.70551756937684,96.38355961773804,96.80311176609356,96.33869351749452,100.0,95.96425470925114,96.45214285194665,,91.17746828057992,95.4214472126808,95.88911637971152,96.59331685729558,96.23923099349288,97.64380304153856
2016-01-13,100.80576112808006,98.67513770167471,98.12735699946732,101.830439097192,94.19560376341946,93.51393955339454,100.77979484489504,93.05935559222937,95.10816549303767,93.93594200382228,100.20887774962178,93.96501618294872,93.57366526131062,,88.98840884305147,92.93964622797984,93.57553795087009,93.99101595516292,93.38328869730874,94.35042207649526
2016-01-14,100.76875404940984,98.78867176037018,98.56425439944628,100.09634131764533,95.37140767956524,94.71217824470988,100.789070461814,95.04108042945184,96.34835136935332,95.47805285365536,100.1180593511782,95.49236088193368,95.01770612400183,,92.81927080288074,93.75266287958404,94.68453278044916,95.76531954664904,95.88577033437478,95.02731502570616
2016-01-15,100.88911156451088,97.81396890511822,97.2658696959418,101.25240956654768,91.99328365282624,90.80489706597228,100.96547597699616,92.09131219721576,95.0668276409042,93.4285257753101,100.1180593511782,93.43102676608346,93.0764017045056,,90.13268485729756,91.6559668294826,93.02104053608052,93.06835394687543,94.54265287887604,93.0747171109076
2016-01-19,100.78723344319556,98.17359336356664,96.92882403806335,101.1560682489024,92.7958231279844,92.31570086207918,100.88189897117012,92.29222878680604,95.39756190316628,93.55288238335906,100.01817585781792,93.44347853723906,93.0859748831368,,88.1924045621055,91.61319907383918,93.00190821438623,93.16299917619811,94.52848895745277,93.42614515243284
2016-01-20,100.87062412220868,97.57734352074034,96.27962856574916,102.50481913309537,90.55617903529652,90.3620856794583,100.84478042790172,92.00912003949183,94.26759143209024,92.35399778479832,100.07267298594864,92.0154105906232,92.38786031176832,,85.85409829397693,89.81599996877858,91.7973165219252,92.429627626556,94.7122717395538,92.60607190447354
2016-01-21,100.7316906311244,98.0221531175648,96.92882403806335,102.60115126312692,91.19073597098776,90.77883538855104,100.9283333203389,92.1004470854502,94.63965725744704,92.87137025867366,99.70939939217436,92.43762794630238,92.83734310473427,,88.52406506834515,89.4308894589274,92.19886057474336,92.95011311579628,94.4295480646772,93.79061860464968
2016-01-22,100.80576112808006,98.94010278121084,98.41449863022932,102.0231217324826,93.91563286430788,93.61812415769572,100.91904162782735,94.76710657037208,96.36213694243662,94.77664501372024,99.85470730741793,94.07677735971949,95.0655178439561,,92.4378322245412,91.05692276213578,93.00190821438623,95.52876001121764,95.9281676725018,95.43082894434004
2016-01-25,100.750202218976,98.48583739417242,97.44069606007206,103.17918998138498,92.66517277729244,92.10733729942078,100.95616017109576,93.3607341160125,94.99795008779812,93.34396059776056,100.04540919922178,92.43762794630238,93.8031738995372,,88.12605498371767,89.21693917567673,91.85470539380938,94.41683674676224,95.03745767053069,94.33736602517509
2016-01-26,100.87988796465092,98.7981275505841,98.31457823576532,104.33525823028737,94.30757570970346,93.33160943843748,101.07685572019015,94.20090363333446,96.8857623142053,94.6174457407694,100.29969614806537,94.02709000366586,94.76905886754172,,91.4593983796467,90.7146078841864,93.59463789976962,95.33950848920884,95.75851340202048,95.71723210435135
2016-01-27,100.89837540695312,99.27132296837274,98.1647912609286,104.62427299560952,93.69167255837924,92.94089882299004,101.11400641464373,91.85387789107384,96.41726036765344,93.58770827278435,100.55402115356264,93.54282059610024,93.0859748831368,,91.0281896733618,90.37225397947526,92.54301575567736,93.3759241732365,94.66986259815891,94.22021270403803
2016-01-28,100.9817660859662,99.79178811206984,98.6641872761582,103.56454606435244,94.00895102622484,94.32141681576664,101.29967147115222,93.15066808059692,97.12004158815589,94.07522039830852,100.76289129185366,93.94018883154494,93.5832539179994,,93.79770464777526,90.41504961137709,93.07840512836866,94.58249266701456,92.46430986883028,95.43082894434004
